mm,oc,rh,lv
274.9,21.6,83,부산
271.5,26,87,부산
144.7,26.9,78,부산
74.4,22.7,73,부산
144.2,18.5,71,부산
12.9,11.4,52,부산
28.7,4.8,45,부산
84.8,4.8,55,부산
12.3,6.6,44,부산
117.1,10.7,56,부산
384.8,14.4,65,부산
122.6,17,74,부산
76,20.9,72,부산
304.6,24,85,부산
696.3,24.2,84,부산
98.9,21.7,71,부산
96.8,16.4,62,부산
11.2,8.8,46,부산
79.8,6.5,53,부산
23.3,2.5,44,부산
51.6,6.3,53,부산
77.5,8.6,60,부산
232,13.8,69,부산
418.5,16.9,72,부산
355,20.8,78,부산
657.7,21.3,87,부산
278,24.1,82,부산
160.3,22.5,74,부산
2.5,16.6,55,부산
57.5,13.1,67,부산
14.4,5.2,43,부산
1.4,2.8,42,부산
77.5,6.6,44,부산
48.1,8.8,51,부산
215,14,57,부산
210.6,17.3,72,부산
189.1,21,67,부산
91.7,24.2,79,부산
249,25.2,73,부산
231.2,22,73,부산
14.8,16.8,59,부산
32,12.5,57,부산
26.1,7.4,47,부산
15.7,2,42,부산
36.8,2.5,46,부산
142.4,7.1,51,부산
118.9,14,58,부산
168,17.1,64,부산
145,21,76,부산
314.4,23.8,82,부산
210.8,25.8,76,부산
176.5,22.8,76,부산
21.5,17.1,61,부산
30.9,11.6,47,부산
3,1.2,37,부산
24.4,3.9,46,부산
36.3,4,49,부산
24.7,8,50,부산
166.3,12.2,63,부산
257.6,16.3,72,부산
175.4,20.3,75,부산
591.7,22.6,85,부산
68,27.5,74,부산
132.8,21.3,69,부산
13.1,20,65,부산
30.5,13.1,53,부산
7.5,6.6,47,부산
4.6,5.2,43,부산
115,7.9,53,부산
75.5,9.1,55,부산
65.5,13.2,53,부산
116.6,17.8,65,부산
94.5,20.5,74,부산
301.5,22.8,80,부산
128.1,26.7,78,부산
210.2,22.9,76,부산
119,18.3,64,부산
0,11.9,47,부산
46,7.3,51,부산
35.7,4.7,54,부산
19.1,3.8,38,부산
73.7,9.5,60,부산
80.5,13.9,63,부산
191.3,17.4,69,부산
186.5,19.7,76,부산
107.1,25.6,83,부산
368.5,25,75,부산
22.2,22.9,72,부산
52.2,19.1,62,부산
22,11.6,56,부산
9.5,6.6,48,부산
17,3.5,45,부산
79,8.3,59,부산
72.7,9.8,55,부산
95.5,14.3,58,부산
173.4,18.6,65,부산
187.9,21.4,74,부산
886.1,23.3,84,부산
84.8,25,74,부산
20,22.7,68,부산
74.4,18.8,55,부산
69,11.1,58,부산
13.1,5.4,44,부산
37.6,3,41,부산
91.1,5.8,57,부산
132.9,7.8,62,부산
146.3,11.5,60,부산
186.8,17.2,67,부산
94.4,22,68,부산
291.9,25.2,83,부산
165.3,27.9,81,부산
182.5,24.1,72,부산
72.6,18.2,63,부산
2,11.3,46,부산
38.5,5.2,47,부산
0,-0.7,35,부산
70.9,6.1,56,부산
31.2,7.4,43,부산
100,13.1,59,부산
170,17.3,70,부산
243.2,21.3,79,부산
418.1,25.1,79,부산
110,25.8,78,부산
56.8,23.3,66,부산
142.5,17.6,58,부산
128.7,14.1,60,부산
7.2,4.4,41,부산
19.5,2.8,42,부산
22.1,2.8,45,부산
173.9,8.3,55,부산
213.8,14,58,부산
36.1,18.9,59,부산
97.8,21.6,71,부산
502,25.5,78,부산
169.4,27.5,72,부산
356,22.2,70,부산
146.5,17.8,54,부산
83.5,10.1,48,부산
162.7,2.9,48,부산
22.5,2.5,42,부산
46.6,4.7,43,부산
93.7,10.2,53,부산
136.2,12.6,50,부산
201,18.2,61,부산
159,21.9,74,부산
131,26.1,76,부산
144.5,28,67,부산
30.2,23.7,61,부산
91.2,18.9,56,부산
61.6,10.9,52,부산
12.6,5.4,48,부산
9.6,5,41,부산
44.1,5.8,62,부산
136.7,9.8,60,부산
147.8,14.6,59,부산
145.9,18.7,69,부산
44.5,21.4,80,부산
169.3,24.8,85,부산
642.2,24.2,86,부산
128.7,22.7,75,부산
162.5,17.9,68,부산
40.5,12.7,61,부산
21.3,3.5,50,부산
50.7,4.7,53,부산
30.5,5.4,54,부산
76.5,9.5,54,부산
268,13.9,69,부산
183,18.8,67,부산
69.2,21,80,부산
176.7,23.9,83,부산
132.5,26.1,79,부산
172,22.1,74,부산
62,18.1,62,부산
124.1,13.6,73,부산
51.5,7.9,59,부산
59.5,3.1,49,부산
63.7,5.5,48,부산
133.5,9.9,61,부산
198.5,15.1,66,부산
108.8,19.3,64,부산
115.2,21.9,80,부산
188.8,25.3,85,부산
141.5,27.7,72,부산
407.9,22.9,80,부산
182.4,18.7,73,부산
56.6,11.8,61,부산
103.8,7.3,54,부산
12,4.1,46,부산
33.8,5.5,45,부산
35.7,9,53,부산
105.1,15,64,부산
39.2,19,63,부산
49.8,21.3,70,부산
172.1,26.1,82,부산
82.5,27,74,부산
335,22.6,69,부산
138.3,18.1,68,부산
0.3,11.2,49,부산
10.6,3.6,40,부산
40.9,1.9,45,부산
52.5,3.9,42,부산
206.1,10,63,부산
156.4,14.5,63,부산
155.8,17.8,73,부산
276.7,21.5,75,부산
122.1,26.7,78,부산
169.7,27.9,75,부산
308.4,21.9,76,부산
123.7,16.4,62,부산
107.3,12.4,57,부산
59,5.7,49,부산
12.7,4.5,39,부산
51.5,6.6,50,부산
75.4,10.5,54,부산
85,13.4,60,부산
76.1,19.3,58,부산
324.3,21.1,74,부산
358.9,24.3,85,부산
156.3,27,78,부산
279,23.1,82,부산
139.9,18.6,67,부산
13.8,13,58,부산
50.3,7,50,부산
127.7,6.4,57,부산
94.9,7.1,55,부산
58.8,10.4,57,부산
83.5,12.6,53,부산
96.2,17.9,73,부산
321.1,22.4,73,부산
796.8,22.1,87,부산
399.2,27.2,82,부산
230.5,21.9,74,부산
26.4,17.3,58,부산
36.3,12.4,52,부산
10.2,4.3,43,부산
25.8,3.3,50,부산
49.5,7.2,51,부산
127.5,11.4,64,부산
107.1,14.7,56,부산
139.2,17.7,68,부산
232.3,21.9,76,부산
399.9,26.3,80,부산
481.2,26.2,82,부산
164.7,22.9,79,부산
18.2,18.7,67,부산
57.9,12.5,56,부산
4.5,6,50,부산
0,4,41,부산
0,3.6,44,부산
127.4,10.5,65,부산
130.6,14.9,64,부산
5.4,19,60,부산
13.8,-2.3,71,춘천
59.7,-1.1,64,춘천
10.4,6,64,춘천
64.3,11.4,62,춘천
123.6,15.9,68,춘천
75,20.4,71,춘천
142.3,24.8,80,춘천
277.5,23.9,81,춘천
142.5,19.3,81,춘천
55,12,79,춘천
60.9,4.4,78,춘천
76.5,-1,81,춘천
10,-3.7,80,춘천
49.1,-0.2,70,춘천
22.5,4.3,68,춘천
83.5,10.4,61,춘천
184.9,17.5,69,춘천
170.7,21.7,77,춘천
318.4,22.5,79,춘천
199.9,22.2,82,춘천
45.7,19,77,춘천
13.8,11,72,춘천
49.5,7.2,74,춘천
13,-1.5,73,춘천
10.2,-2.8,71,춘천
4.6,-1.5,69,춘천
21.7,3.2,60,춘천
35,13.6,55,춘천
130.6,16.7,69,춘천
99.9,21.6,70,춘천
128.5,27.4,80,춘천
248.5,25.8,83,춘천
59.9,18.6,81,춘천
137.3,12.6,81,춘천
45.5,6.5,78,춘천
9.2,-1.1,71,춘천
8.4,-4.5,65,춘천
7.6,-1.5,69,춘천
53.5,3.8,73,춘천
43,10.1,58,춘천
45.9,15.8,60,춘천
54.2,20.4,67,춘천
453.9,23.9,84,춘천
774.7,24.9,86,춘천
74.2,17.9,82,춘천
25.8,12.9,78,춘천
47.4,3.3,74,춘천
4.5,-3.6,74,춘천
17.5,-4.7,69,춘천
5.3,-3.3,65,춘천
70.4,3.1,69,춘천
54.2,9.2,65,춘천
23.3,17.5,71,춘천
236.1,22,86,춘천
545.7,23.5,87,춘천
74.3,24.6,87,춘천
35.7,19.2,81,춘천
64.8,11.7,81,춘천
45,3.9,78,춘천
13.4,-1.8,78,춘천
18.5,-5.8,75,춘천
31.7,-1.6,71,춘천
16.3,5.1,69,춘천
32.3,11.9,66,춘천
281.9,15.8,78,춘천
110.7,21.6,79,춘천
241.3,25.1,83,춘천
155.4,25.3,82,춘천
127.9,17.9,80,춘천
29.5,11.2,74,춘천
94.6,5.9,82,춘천
35.6,-0.9,79,춘천
13.4,-2.8,72,춘천
34.1,0.7,75,춘천
32.4,6.2,67,춘천
131.6,14.7,74,춘천
92.2,17.8,74,춘천
183.3,21,78,춘천
366,24,82,춘천
663.9,24.3,85,춘천
83.5,21.1,82,춘천
36.2,14.6,81,춘천
67.1,5,78,춘천
3.9,-0.1,76,춘천
5.6,-3.1,68,춘천
1.3,-1,68,춘천
47.2,4.7,66,춘천
75,12.3,68,춘천
103.8,16.6,72,춘천
93.4,22.1,76,춘천
226.1,24.9,80,춘천
563,24.5,83,춘천
348.3,21.5,84,춘천
93.1,12.1,83,춘천
19.3,4.8,81,춘천
10.8,-2.6,77,춘천
46.6,-3,70,춘천
4,-3.2,60,춘천
14.3,4.9,55,춘천
15.3,10.8,54,춘천
80.1,16.7,71,춘천
113.2,22.7,67,춘천
182.2,26,75,춘천
481.6,24.6,81,춘천
139.8,18.5,77,춘천
16.9,12.1,77,춘천
25.4,4.1,70,춘천
35.5,-1.5,68,춘천
32.8,-6.7,68,춘천
30.5,-2.5,68,춘천
14.8,3.3,58,춘천
13.6,12.3,49,춘천
12.3,18.8,57,춘천
178,22.5,70,춘천
520.3,25.4,78,춘천
193.4,25.2,75,춘천
8.9,20,69,춘천
72.6,14.2,77,춘천
12.3,4,71,춘천
18.5,-2.9,60,춘천
62.2,-2.8,70,춘천
4.6,0.5,59,춘천
36.7,7.1,53,춘천
143.8,13.2,54,춘천
55.6,17.9,63,춘천
79.6,21.7,65,춘천
214.6,25.2,75,춘천
413.2,24.1,80,춘천
55,19.7,76,춘천
70.3,11,71,춘천
14.3,2.2,62,춘천
27.8,-1,72,춘천
15.9,-5.2,68,춘천
36,0.5,68,춘천
27.3,5.1,62,춘천
147,11.7,63,춘천
125.5,18.2,63,춘천
121.9,21.3,73,춘천
340.9,23.7,77,춘천
632.7,23.6,83,춘천
