month,mm,oc,rh,lv
Oct-14,52.2,15.6,63,서울
Nov-14,41.5,9,61,서울
Dec-14,17.9,-2.9,56,서울
Jan-15,11.3,-0.9,56,서울
Feb-15,22.7,1,59,서울
Mar-15,9.6,6.3,45,서울
Apr-15,80.5,13.3,55,서울
May-15,28.9,18.9,53,서울
Jun-15,99,23.6,60,서울
Jul-15,226,25.8,71,서울
Aug-15,72.9,26.3,70,서울
Sep-15,26,22.4,56,서울
Oct-15,81.5,15.5,61,서울
Nov-15,104.6,8.9,74,서울
Dec-15,29.1,1.6,60,서울
Jan-16,1,-3.2,53,서울
Feb-16,47.6,0.2,52,서울
Mar-16,40.5,7,51,서울
Apr-16,76.8,14.1,55,서울
May-16,160.5,19.6,56,서울
Jun-16,54.4,23.6,63,서울
Jul-16,358.2,26.2,73,서울
Aug-16,67.1,28,64,서울
Sep-16,33,23.1,65,서울
Oct-16,74.8,16.1,62,서울
Nov-16,16.7,6.8,57,서울
Dec-16,61.1,1.2,59,서울
Jan-17,14.9,-1.8,55,서울
Feb-17,11.1,-0.2,54,서울
Mar-17,7.9,6.3,48,서울
Apr-17,61.6,13.9,52,서울
May-17,16.1,19.5,52,서울
Jun-17,66.6,23.3,57,서울
Jul-17,621,26.9,77,서울
Aug-17,297,25.9,71,서울
Sep-17,35,22.1,61,서울
Oct-17,26.5,16.4,56,서울
Nov-17,40.7,5.6,54,서울
Dec-17,34.8,-1.9,56,서울
Jan-18,8.5,-4,48,서울
Feb-18,29.6,-1.6,45,서울
Mar-18,49.5,8.1,59,서울
Apr-18,130.3,13,55,서울
May-18,222,18.2,63,서울
Jun-18,171.5,23.1,63,서울
Jul-18,185.6,27.8,68,서울
Aug-18,202.6,28.8,65,서울
Sep-18,68.5,21.5,61,서울
Oct-18,120.5,13.1,59,서울
Nov-18,79.1,7.8,58,서울
Dec-18,16.4,-0.6,46,서울
Jan-19,0,-0.9,46,서울
Feb-19,23.8,1,47,서울
Mar-19,26.8,7.1,51,서울
Apr-19,47.3,12.1,51,서울
May-19,37.8,19.4,47,서울
Jun-19,74,22.5,61,서울
Jul-19,194.4,25.9,69,서울
Aug-19,190.5,27.2,69,서울
Sep-19,139.8,22.6,65,서울
Oct-19,55.5,16.4,62,서울
Nov-19,78.8,7.6,56,서울
Dec-19,22.6,1.4,58,서울
Jan-20,60.5,1.6,56,서울
Feb-20,53.1,2.5,58,서울
Mar-20,16.3,7.7,46,서울
Apr-20,16.9,11.1,50,서울
May-20,112.4,18,67,서울
Jun-20,139.6,23.9,68,서울
Jul-20,270.4,24.1,77,서울
Aug-20,675.7,26.5,85,서울
Sep-20,181.5,21.4,71,서울
Oct-20,0,14.3,61,서울
Nov-20,120.1,8,64,서울
Dec-20,4.6,-0.3,58,서울
Jan-21,18.9,-2.4,58,서울
Feb-21,7.1,2.7,56,서울
